Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2012-01-03,12.32168960571289,12.359743102469352,12.254872558812515,12.26685803812144,302220800
1,2012-01-04,12.387903213500977,12.425058186866142,12.263257470992423,12.284830526396293,260022000
2,2012-01-05,12.525436401367188,12.541016722439506,12.364834198922539,12.43315062241969,271269600
3,2012-01-06,12.656375885009766,12.666862778834131,12.56109372953894,12.57757336271972,318292800
4,2012-01-09,12.636298179626465,12.816675599093925,12.62491197703761,12.749259294537902,394024400
5,2012-01-10,12.681543350219727,12.764241545054652,12.629407323015455,12.761544412558633,258196400
6,2012-01-11,12.660868644714355,12.669857752758704,12.563788678131258,12.664763524817594,215084800
7,2012-01-12,12.626112937927246,12.67135691987214,12.547010378703861,12.652780227985662,212587200
8,2012-01-13,12.578768730163574,12.597945492475203,12.544311685532708,12.575473924289104,226021600
9,2012-01-17,12.725289344787598,12.76394210920517,12.673153318396006,12.710307498095007,242897200
10,2012-01-18,12.85742473602295,12.868210864120005,12.773228768964914,12.793004003891612,276791200
11,2012-01-19,12.816680908203125,12.925146314243323,12.779526716042252,12.888592196250046,261738400
12,2012-01-20,12.593450546264648,12.809184321807676,12.576970916192552,12.808885084945658,413974400
13,2012-01-23,12.806488990783691,12.837651231994723,12.65337811758484,12.664464284120221,306062400
14,2012-01-24,12.596746444702148,12.737273350092748,12.570978471467525,12.737273350092748,547638000
15,2012-01-25,13.383275985717773,13.616687141381203,13.29548437001299,13.616387904515978,958314000
16,2012-01-26,13.322453498840332,13.447098471685157,13.277808792672497,13.434215282762157,323985200
17,2012-01-27,13.401856422424316,13.43781205997602,13.296686642642364,13.313764750378208,299709200
18,2012-01-30,13.573538780212402,13.600206061142469,13.345221089820408,13.354808669399915,379341200
19,2012-01-31,13.67751407623291,13.730248580088853,13.57533987487634,13.650846787300752,391683600
20,2012-02-01,13.668822288513184,13.752719019002557,13.649647127410471,13.735340879173176,270046000
21,2012-02-02,13.636764526367188,13.698188099503241,13.602606714926203,13.660135407848289,186796400
22,2012-02-03,13.773399353027344,13.782987737706756,13.649952100675327,13.702088142270778,286599600
23,2012-02-06,13.901934623718262,13.93219755103416,13.72904933040134,13.7344419945857,249412800
24,2012-02-07,14.047557830810547,14.075124430099818,13.920214127818715,13.940290203437408,316223600
25,2012-02-08,14.282768249511719,14.286063055942252,14.073625650746447,14.097596607681547,407890000
26,2012-02-09,14.776862144470215,14.884129806559296,14.39902823079227,14.40502097170768,884214800
27,2012-02-10,14.784348487854004,14.910192811078714,14.638428088193029,14.710640195744388,631302000
28,2012-02-13,15.059402465820312,15.096256594373513,14.894305379058153,14.967415162625459,517216000
29,2012-02-14,15.264955520629883,15.267951090248856,15.041431940380855,15.121132974575387,460398400
30,2012-02-15,14.911687850952148,15.769226980789712,14.888315374705996,15.408773022874948,1506120000
31,2012-02-16,15.047723770141602,15.128024877596092,14.580899773955897,14.726820177440564,944552000
32,2012-02-17,15.045023918151855,15.214315165507674,14.99049080267613,15.074686770981268,535805200
33,2012-02-21,15.426451683044434,15.426451683044432,15.104948124987608,15.187646300237722,605595200
34,2012-02-22,15.372220039367676,15.445629082320048,15.25326618594096,15.373418587011736,483302400
35,2012-02-23,15.472588539123535,15.515736234607663,15.266144002341216,15.433337321851239,568027600
36,2012-02-24,15.652973175048828,15.667654983780839,15.540013658950594,15.57087506093485,415072000
37,2012-02-27,15.753351211547852,15.835449330198358,15.469301802259615,15.620014777739186,547582000
38,2012-02-28,16.04249382019043,16.04249382019043,15.756047319536952,15.819269510816165,600387200
39,2012-02-29,16.253129959106445,16.408040224736347,16.05118030408883,16.22676351404789,952011200
40,2012-03-01,16.313953399658203,16.426016780592292,16.143164396972317,16.424816633004784,683270000
41,2012-03-02,16.33523178100586,16.383770561222633,16.25552916125057,16.307066710930513,431712400
42,2012-03-05,15.97508430480957,16.404153364184676,15.760547374825196,16.342430531439167,809124400
43,2012-03-06,15.888184547424316,15.990957218869529,15.467503879238311,15.690428964979128,810238800
44,2012-03-07,15.901069641113281,16.11350703784035,15.679642335795231,16.084143416864116,798520800
45,2012-03-08,16.239652633666992,16.269614729256272,15.943916956992874,16.020921654917856,516457200
46,2012-03-09,16.334932327270508,16.4119370136049,16.273207923339324,16.306167183644995,418919200
47,2012-03-12,16.53958511352539,16.53958511352539,16.389768210460645,16.44909553765373,407282400
48,2012-03-13,17.021982192993164,17.02437928813007,16.651938232168845,16.705573635906415,690855200
49,2012-03-14,17.665586471557617,17.819595821720668,17.240710192428082,17.32011356265834,1418844000
50,2012-03-15,17.545133590698242,17.97809883405355,17.335093361265656,17.966113360155,1159718000
51,2012-03-16,17.545440673828125,17.654206097753082,17.31862067950353,17.51997193045326,825487600
52,2012-03-19,18.01075553894043,18.03083000388205,17.649701605162626,17.928956694868234,901236000
53,2012-03-20,18.15637969970703,18.184543162672878,17.72251515193111,17.963117536284457,816662000
54,2012-03-21,18.05270767211914,18.266943632506425,18.020049253706194,18.059898956961504,644042000
55,2012-03-22,17.95802879333496,18.112638244354795,17.84386912654886,17.911285433605087,623870800
56,2012-03-23,17.859453201293945,18.031740059030025,17.810013501141494,17.992488815987574,430488800
57,2012-03-26,18.186941146850586,18.192036173581762,17.835776350624702,17.97150664659362,595742000
58,2012-03-27,18.411670684814453,18.465603736299975,18.159381970410852,18.162977613856377,607129600
59,2012-03-28,18.505752563476562,18.62051070574,18.286722371207265,18.528523369645548,655460400
60,2012-03-29,18.273242950439453,18.47399573247609,18.19444122271721,18.360735350986545,608238400
61,2012-03-30,17.964323043823242,18.29421493497022,17.916081893426178,18.240581119404542,731038000
62,2012-04-02,18.5360164642334,18.540210581316764,17.989190647294933,18.032637603773544,598351600
63,2012-04-03,18.856321334838867,18.942916017246322,18.65227376332442,18.79579546830686,834559600
64,2012-04-04,18.706205368041992,18.752647893643,18.48717516521357,18.707403915803255,572980800
65,2012-04-05,18.986957550048828,19.016321166342458,18.67893721562136,18.786204826227735,641298000
66,2012-04-09,19.063364028930664,19.171530960898323,18.735869264010123,18.760737929163525,597536800
67,2012-04-10,18.8299503326416,19.29617413384753,18.756840531404976,19.17422471950586,889725200
68,2012-04-11,18.76283073425293,19.082535652949623,18.677135395068664,19.06246118410443,696614800
69,2012-04-12,18.660062789916992,18.916547220002645,18.592046402023136,18.72688063000394,614336800
70,2012-04-13,18.13450050354004,18.71788089075804,18.082964579512854,18.700201921353198,859644800
71,2012-04-16,17.382442474365234,18.285825945699166,17.326112323610385,18.27923473238858,1050786800
72,2012-04-17,18.268447875976562,18.277436185109067,17.13614655312284,17.346786945565086,1025528000
73,2012-04-18,18.22769546508789,18.584555434406333,18.059002680165463,18.388896126893194,954531200
74,2012-04-19,17.60146713256836,18.119527740912105,17.513974756331894,17.984394296833955,834719200
75,2012-04-20,17.16820526123047,17.816605224865803,17.091499801563984,17.719524452422988,1030985200
